Код производителя:;FAX2440C
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Функция телефона:;да
Цветность печати:;цветная
Технология печати:;струйная
Максимальный формат:;А4
Скорость печати:;20 стр./мин. (Ч/Б)15 стр./мин. (Цв.)
