Код производителя:;MFC8480DN
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;32 стр./мин.
Нагрузка в месяц:;30000 стр.
