Узел автоматической подачи оригиналов;LX9297001;LX9297001 - Узел захвата бумаги из автоподатчика документов, в сборе;['Brother MFC-L2740DW', 'Brother MFC-9340CDW', 'Brother MFC-L2740DWR'];
Подача и захват бумаги;LU9244001;"LU9244001 - Узел захвата бумаги из кассеты, в сборе (лоток 2; площадка отделения, пружина площадки отделения, ролик подачи, ролик захвата и держатель - в комплекте)";['Brother HL-5450DNT', 'Brother MFC-8520DN', 'Brother DCP-8155DN', 'Brother HL-5470DW', 'Brother MFC-8710DW', 'Brother DCP-8250DN', 'Brother HL-6180DW', 'Brother MFC-8910DW', 'Brother HL-5440D', 'Brother HL-6180DWT', 'Brother MFC-8950DW', 'Brother HL-5450DN', 'Brother MFC-8510DN', 'Brother MFC-8950DWT'];E:\Projects\PycharmProjects\parser_profit\images\brother\LU9244001.jpg
Подача и захват бумаги;LU9244001;"CN | LU9244001 - Узел захвата бумаги из кассеты, в сборе (лоток 2; площадка отделения, пружина площадки отделения, ролик подачи, ролик захвата и держатель - в комплекте)";['Brother HL-5450DNT', 'Brother MFC-8520DN', 'Brother DCP-8155DN', 'Brother HL-5470DW', 'Brother MFC-8710DW', 'Brother DCP-8250DN', 'Brother HL-6180DW', 'Brother MFC-8910DW', 'Brother HL-5440D', 'Brother HL-6180DWT', 'Brother MFC-8950DW', 'Brother HL-5450DN', 'Brother MFC-8510DN', 'Brother MFC-8950DWT'];E:\Projects\PycharmProjects\parser_profit\images\brother\LU9244001.jpg
Подача и захват бумаги;LY5385001;"LY5385001 - Комплект захвата/подачи бумаги из лотка ручной подачи (лоток 1; площадка отделения, пружина площадки отделения, ролик подачи, ролик захвата и держатель - в комплекте)";['Brother HL-5450DNT', 'Brother MFC-8520DN', 'Brother DCP-8155DN', 'Brother HL-5470DW', 'Brother MFC-8710DW', 'Brother DCP-8250DN', 'Brother HL-6180DW', 'Brother MFC-8910DW', 'Brother HL-5440D', 'Brother HL-6180DWT', 'Brother MFC-8950DW', 'Brother HL-5450DN', 'Brother MFC-8510DN', 'Brother MFC-8950DWT'];E:\Projects\PycharmProjects\parser_profit\images\brother\LY5385001.jpg
Внутренние компоненты;LY4380001;LY4380001 - Муфта вращения шестерни блока проявки;['Brother HL-5450DNT', 'Brother MFC-8520DN', 'Brother DCP-8155DN', 'Brother HL-5470DW', 'Brother MFC-8710DW', 'Brother DCP-8250DN', 'Brother HL-6180DW', 'Brother MFC-8910DW', 'Brother HL-5440D', 'Brother HL-6180DWT', 'Brother MFC-8950DW', 'Brother HL-5450DN', 'Brother MFC-8510DN', 'Brother MFC-8950DWT'];E:\Projects\PycharmProjects\parser_profit\images\brother\LY4380001.jpg
Внутренние компоненты;LY4382001;LY4382001 - Шестерня (37 зубов) привода блока проявки;['Brother HL-L5000D', 'Brother MFC-8540DN', 'Brother DCP-8110DN', 'Brother HL-L5100DN', 'Brother MFC-8710DW', 'Brother DCP-8155DN', 'Brother HL-L5100DNT', 'Brother MFC-8910DW', 'Brother DCP-8250DN', 'Brother HL-L5102DW', 'Brother MFC-8950DW', 'Brother DCP-L5500DN', 'Brother HL-L5200DW', 'Brother MFC-8950DWT', 'Brother DCP-L5502DN', 'Brother HL-L5200DWT', 'Brother MFC-L5700DN', 'Brother DCP-L5600DN', 'Brother HL-L5202DW', 'Brother MFC-L5702DW', 'Brother DCP-L5602DN', 'Brother HL-L6200DW', 'Brother MFC-L5750DW', 'Brother DCP-L5650DN', 'Brother HL-L6200DWT', 'Brother MFC-L5755DW', 'Brother DCP-L5652DN', 'Brother HL-L6202DW', 'Brother MFC-L5800DW', 'Brother DCP-L6600DW', 'Brother HL-L6250DN', 'Brother MFC-L5802DW', 'Brother HL-5440D', 'Brother HL-L6250DW', 'Brother MFC-L5850DW', 'Brother HL-5450DN', 'Brother HL-L6300DW', 'Brother MFC-L5900DW', 'Brother HL-5450DNT', 'Brother HL-L6300DWT', 'Brother MFC-L5902DW', 'Brother HL-5470DW', 'Brother HL-L6400DW', 'Brother MFC-L6700DW', 'Brother HL-5580D', 'Brother HL-L6400DWT', 'Brother MFC-L6702DW', 'Brother HL-5585D', 'Brother HL-L6402DW', 'Brother MFC-L6750DW', 'Brother HL-5590DN', 'Brother MFC-8510DN', 'Brother MFC-L6800DW', 'Brother HL-5595DN', 'Brother MFC-8520DN', 'Brother MFC-L6900DW', 'Brother HL-6180DW', 'Brother MFC-8530DN', 'Brother MFC-L6902DW', 'Brother HL-6180DWT', 'Brother MFC-8535DN'];E:\Projects\PycharmProjects\parser_profit\images\brother\LY4382001.jpg
Внутренние компоненты;LT1816001;LT1816001 - Шлейф линейки сканирования;['Brother MFC-8510DN', 'Brother MFC-8520DN', 'Brother DCP-8110DN', 'Brother MFC-8512DN', 'Brother DCP-8112DN', 'Brother MFC-8515DN'];
Электронные компоненты;LY4628001;LY4628001 - Блок лазера;['Brother HL-5452DN', 'Brother MFC-8520DN', 'Brother DCP-8110DN', 'Brother HL-5470DW', 'Brother MFC-8710DW', 'Brother DCP-8112DN', 'Brother HL-5470DWT', 'Brother MFC-8712DW', 'Brother DCP-8150DN', 'Brother HL-5472DW', 'Brother MFC-8810DW', 'Brother DCP-8152DN', 'Brother HL-5472DWT', 'Brother MFC-8910DW', 'Brother DCP-8155DN', 'Brother HL-6180DW', 'Brother MFC-8912DW', 'Brother DCP-8157DN', 'Brother HL-6180DWT', 'Brother MFC-8950DW', 'Brother DCP-8250DN', 'Brother HL-6182DW', 'Brother MFC-8950DWT', 'Brother HL-5440D', 'Brother HL-6182DWT', 'Brother MFC-8952DW', 'Brother HL-5445D', 'Brother MFC-8510DN', 'Brother MFC-8952DWT', 'Brother HL-5450DN', 'Brother MFC-8512DN', 'Brother HL-5450DNT', 'Brother MFC-8515DN'];E:\Projects\PycharmProjects\parser_profit\images\brother\LY4628001.jpg
Электронные компоненты;LT1713001;LT1713001 - Сканирующая линейка;['Brother DCP-9020CDW', 'Brother MFC-8912DW', 'Brother DCP-8110DN', 'Brother MFC-8510DN', 'Brother MFC-8950DW', 'Brother DCP-8112DN', 'Brother MFC-8512DN', 'Brother MFC-8950DWT', 'Brother DCP-8150DN', 'Brother MFC-8515DN', 'Brother MFC-8952DW', 'Brother DCP-8152DN', 'Brother MFC-8520DN', 'Brother MFC-8952DWT', 'Brother DCP-8155DN', 'Brother MFC-8710DW', 'Brother MFC-9140CDN', 'Brother DCP-8157DN', 'Brother MFC-8712DW', 'Brother MFC-9330CDW', 'Brother DCP-8250DN', 'Brother MFC-8810DW', 'Brother MFC-9340CDW', 'Brother DCP-9020CDN', 'Brother MFC-8910DW'];
Узел термозакрепления;LU8566001;LU8566001 - Печь, в сборе (220В);['Brother HL-5450DNT', 'Brother MFC-8520DN', 'Brother DCP-8155DN', 'Brother HL-5470DW', 'Brother MFC-8710DW', 'Brother DCP-8250DN', 'Brother HL-6180DW', 'Brother MFC-8910DW', 'Brother HL-5440D', 'Brother HL-6180DWT', 'Brother MFC-8950DW', 'Brother HL-5450DN', 'Brother MFC-8510DN', 'Brother MFC-8950DWT'];
Узел термозакрепления;DPT-FILM-064;DPT-FILM-064 - Термоплёнка (металлизированная);['Brother HL-5450DNT', 'Brother MFC-8520DN', 'Brother DCP-8155DN', 'Brother HL-5470DW', 'Brother MFC-8710DW', 'Brother DCP-8250DN', 'Brother HL-6180DW', 'Brother MFC-8910DW', 'Brother HL-5440D', 'Brother HL-6180DWT', 'Brother MFC-8950DW', 'Brother HL-5450DN', 'Brother MFC-8510DN', 'Brother MFC-8950DWT'];
Узел термозакрепления;FILM-B5450;FILM-B5450 - Термоплёнка (металлизированная);['Brother HL-5450DNT', 'Brother MFC-8520DN', 'Brother DCP-8155DN', 'Brother HL-5470DW', 'Brother MFC-8710DW', 'Brother DCP-8250DN', 'Brother HL-6180DW', 'Brother MFC-8910DW', 'Brother HL-5440D', 'Brother HL-6180DWT', 'Brother MFC-8950DW', 'Brother HL-5450DN', 'Brother MFC-8510DN', 'Brother MFC-8950DWT'];
Узел термозакрепления;CET2801;CET2801 - Прижимной вал;['Brother HL-5450DNT', 'Brother MFC-8520DN', 'Brother DCP-8155DN', 'Brother HL-5470DW', 'Brother MFC-8710DW', 'Brother DCP-8250DN', 'Brother HL-6180DW', 'Brother MFC-8910DW', 'Brother HL-5440D', 'Brother HL-6180DWT', 'Brother MFC-8950DW', 'Brother HL-5450DN', 'Brother MFC-8510DN', 'Brother MFC-8950DWT'];E:\Projects\PycharmProjects\parser_profit\images\brother\CET2801.jpg
Детали корпуса;LX4184002;LX4184002 - Пластиковый флажок поддержки бумаги при выходе из узла автоматической подачи документов;['Brother DCP-8112DN', 'Brother MFC-8510DN', 'Brother DCP-7065DNR', 'Brother MFC-7460DN', 'Brother MFC-8510DN', 'Brother DCP-8110D', 'Brother MFC-7860DW', 'Brother MFC-8515DN', 'Brother DCP-8110DN', 'Brother MFC-7860DWR', 'Brother MFC-8520DN'];
