Код производителя:;HLL9310CDWR1
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;31 стр./мин. (Ч/Б)31 стр./мин. (Цв.)
Нагрузка в месяц:;80000 стр.
