Код производителя:;DCPL6600DWR1
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;46 стр./мин.
Нагрузка в месяц:;50000 стр.
