Код производителя:;HL3070CW
Тип устройства:;принтер
Функция печати:;да
Функция копирования:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А4
Скорость печати:;16 стр./мин. (Ч/Б)16 стр./мин. (Цв.)
Нагрузка в месяц:;25000 стр.
