Узел автоматической подачи оригиналов;LX9297001;LX9297001 - Узел захвата бумаги из автоподатчика документов, в сборе;['Brother MFC-L2740DW', 'Brother MFC-9340CDW', 'Brother MFC-L2740DWR'];
Подача и захват бумаги;LY7418001;"LY7418001 - Комплект захвата/подачи бумаги из кассеты (лоток 2; площадка отделения, пружина площадки отделения, ролик подачи, ролик захвата и держатель - в комплекте)";['Brother HL-3150CDN', 'Brother MFC-9330CDW', 'Brother DCP-9020CDW', 'Brother HL-3150CDW', 'Brother MFC-9340CDW', 'Brother HL-3140CN', 'Brother HL-3170CDW', 'Brother HL-3140CW', 'Brother MFC-9140CDN'];E:\Projects\PycharmProjects\parser_profit\images\brother\LY7418001.jpg
Внутренние компоненты;LY6100001;LY6100001 - Главный редуктор, в сборе;['Brother HL-3150CDN', 'Brother MFC-9330CDW', 'Brother DCP-9020CDW', 'Brother HL-3150CDW', 'Brother MFC-9340CDW', 'Brother HL-3140CN', 'Brother HL-3170CDW', 'Brother HL-3140CW', 'Brother MFC-9140CDN'];
Внутренние компоненты;LY6770001;LY6770001 - Вентилятор;['Brother HL-3150CDN', 'Brother MFC-9330CDW', 'Brother DCP-9020CDW', 'Brother HL-3150CDW', 'Brother MFC-9340CDW', 'Brother HL-3140CN', 'Brother HL-3170CDW', 'Brother HL-3140CW', 'Brother MFC-9140CDN'];
Внутренние компоненты;LY6134001;LY6134001 - Электромагнитная муфта узла подачи бумаги;['Brother HL-3150CDN', 'Brother MFC-9330CDW', 'Brother DCP-9020CDW', 'Brother HL-3150CDW', 'Brother MFC-9340CDW', 'Brother HL-3140CN', 'Brother HL-3170CDW', 'Brother HL-3140CW', 'Brother MFC-9140CDN'];
Внутренние компоненты;LR2302001;LR2302001 - Электромагнитная муфта узла подачи тонера;['Brother HL-3150CDN', 'Brother MFC-9330CDW', 'Brother DCP-9020CDW', 'Brother HL-3150CDW', 'Brother MFC-9340CDW', 'Brother HL-3140CN', 'Brother HL-3170CDW', 'Brother HL-3140CW', 'Brother MFC-9140CDN'];
Внутренние компоненты;LY6136001;LY6136001 - Электромагнитная муфта узла регистрации;['Brother HL-3150CDN', 'Brother MFC-9330CDW', 'Brother DCP-9020CDW', 'Brother HL-3150CDW', 'Brother MFC-9340CDW', 'Brother HL-3140CN', 'Brother HL-3170CDW', 'Brother HL-3140CW', 'Brother MFC-9140CDN'];
Электронные компоненты;LT1713001;LT1713001 - Сканирующая линейка;['Brother DCP-9020CDW', 'Brother MFC-8912DW', 'Brother DCP-8110DN', 'Brother MFC-8510DN', 'Brother MFC-8950DW', 'Brother DCP-8112DN', 'Brother MFC-8512DN', 'Brother MFC-8950DWT', 'Brother DCP-8150DN', 'Brother MFC-8515DN', 'Brother MFC-8952DW', 'Brother DCP-8152DN', 'Brother MFC-8520DN', 'Brother MFC-8952DWT', 'Brother DCP-8155DN', 'Brother MFC-8710DW', 'Brother MFC-9140CDN', 'Brother DCP-8157DN', 'Brother MFC-8712DW', 'Brother MFC-9330CDW', 'Brother DCP-8250DN', 'Brother MFC-8810DW', 'Brother MFC-9340CDW', 'Brother DCP-9020CDN', 'Brother MFC-8910DW'];
Электронные компоненты;LV0885001;LV0885001 - Плата датчика тонера;['Brother HL-3150CDN', 'Brother MFC-9330CDW', 'Brother DCP-9020CDW', 'Brother HL-3150CDW', 'Brother MFC-9340CDW', 'Brother HL-3140CN', 'Brother HL-3170CDW', 'Brother HL-3140CW', 'Brother MFC-9140CDN'];E:\Projects\PycharmProjects\parser_profit\images\brother\LV0885001.jpg
Электронные компоненты;LT2604001;LT2604001 - Датчик температуры;['Brother HL-3150CDN', 'Brother MFC-9330CDW', 'Brother DCP-9020CDW', 'Brother HL-3150CDW', 'Brother MFC-9340CDW', 'Brother HL-3140CN', 'Brother HL-3170CDW', 'Brother HL-3140CW', 'Brother MFC-9140CDN'];
Электронные компоненты;LV0928001;LV0928001 - Плата высоковольтного питания;['Brother HL-3150CDN', 'Brother MFC-9330CDW', 'Brother DCP-9020CDW', 'Brother HL-3150CDW', 'Brother MFC-9340CDW', 'Brother HL-3140CN', 'Brother HL-3170CDW', 'Brother HL-3140CW', 'Brother MFC-9140CDN'];
Узел термозакрепления;LR2232001;LR2232001 - Печь, в сборе (220В);['Brother HL-3150CDN', 'Brother MFC-9330CDW', 'Brother DCP-9020CDW', 'Brother HL-3150CDW', 'Brother MFC-9340CDW', 'Brother HL-3140CN', 'Brother HL-3170CDW', 'Brother HL-3140CW', 'Brother MFC-9140CDN'];E:\Projects\PycharmProjects\parser_profit\images\brother\LR2232001.jpg
Узел термозакрепления;LY0233001;LY0233001 - Шестерня привода узла термозакрепления (25 зубов);['Brother HL-3150CDN', 'Brother MFC-9330CDW', 'Brother DCP-9020CDW', 'Brother HL-3150CDW', 'Brother MFC-9340CDW', 'Brother HL-3140CN', 'Brother HL-3170CDW', 'Brother HL-3140CW', 'Brother MFC-9140CDN'];
