Код производителя:;MFC9320CW
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А4
Скорость печати:;16 стр./мин. (Ч/Б)16 стр./мин. (Цв.)
Нагрузка в месяц:;25000 стр.
