Код производителя:;HL3045CN
Тип устройства:;принтер
Функция печати:;да
Функция копирования:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А4
Скорость печати:;18 стр./мин. (Ч/Б)18 стр./мин. (Цв.)
Нагрузка в месяц:;25000 стр.
