Код производителя:;HL4570CDW
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;30 стр./мин. (Ч/Б)30 стр./мин. (Цв.)
Нагрузка в месяц:;60000 стр.
