Код производителя:;HL5450DN
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;38 стр./мин.
Нагрузка в месяц:;50000 стр.
