Код производителя:;DCP7070DW
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;26 стр./мин.
Нагрузка в месяц:;10000 стр.
