Код производителя:;C11C600001BY
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;35 стр./мин. (Ч/Б)25 стр./мин. (Цв.)
Нагрузка в месяц:;90000 стр.
