Код производителя:;C11CA38011BZ
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;44 стр./мин. (А4)
Нагрузка в месяц:;200000 стр.
