Код производителя:;C11CB61011
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;32 стр./мин. (А4)
Нагрузка в месяц:;100000 стр.
