Код производителя:;C11C649001
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;17 стр./мин. (А3)30 стр./мин. (А4)
Нагрузка в месяц:;100000 стр.
