Код производителя:;C11CD31301
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;струйная
Максимальный формат:;А4
Скорость печати:;32 стр./мин. (Ч/Б)32 стр./мин. (Цв.)
