Код производителя:;C4110A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;16 стр./мин. (А4)
Нагрузка в месяц:;65000 стр.
