Код производителя:;CE903A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;18 стр./мин. (Ч/Б)18 стр./мин. (Цв.)
Нагрузка в месяц:;30000 стр.
