Код производителя:;C8547A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;24 стр./мин. (Ч/Б, А4)									24 стр./мин. (Цв., А4)
Нагрузка в месяц:;200000 стр.
