Код производителя:;C8549A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;12 стр./мин. (Ч/Б, А3)12 стр./мин. (Цв., А3)24 стр./мин. (Ч/Б, А4)									24 стр./мин. (Цв., А4)
Нагрузка в месяц:;200000 стр.
