Код производителя:;CB394A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;8 стр./мин. (Ч/Б)8 стр./мин. (Цв.)
Нагрузка в месяц:;20000 стр.
