Код производителя:;CC563A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;12 стр./мин.
Нагрузка в месяц:;3000 стр.
