Код производителя:;A3E42A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;15 стр./мин. (А3)30 стр./мин. (А4)
Нагрузка в месяц:;65000 стр.
