Код производителя:;CC395A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;28 стр./мин. (А3)50 стр./мин. (А4)
Нагрузка в месяц:;300000 стр.
