Код производителя:;E6B73A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;62 стр./мин.
Нагрузка в месяц:;275000 стр.
