Код производителя:;Q1860A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;11 стр./мин. (А3)22 стр./мин. (А4)
Нагрузка в месяц:;65000 стр.
