Код производителя:;CC495A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;40 стр./мин. (Ч/Б)40 стр./мин. (Цв.)
Нагрузка в месяц:;120000 стр.
