Код производителя:;Q3668A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;22 стр./мин. (Ч/Б)22 стр./мин. (Цв.)
Нагрузка в месяц:;85000 стр.
