Код производителя:;CE502A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;55 стр./мин.
Нагрузка в месяц:;250000 стр.
