Код производителя:;T3U52A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;56 стр./мин. (Ч/Б, А4)									56 стр./мин. (Цв., А4)
Нагрузка в месяц:;250000 стр.
