Код производителя:;Q1319A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;12 стр./мин. (Ч/Б)12 стр./мин. (Цв.)
Нагрузка в месяц:;45000 стр.
