Код производителя:;J7Z99A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;47 стр./мин. (Ч/Б)47 стр./мин. (Цв.)
Нагрузка в месяц:;100000 стр.
