Код производителя:;CZ255A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;42 стр./мин. (Ч/Б)42 стр./мин. (Цв.)
Нагрузка в месяц:;120000 стр.
