Код производителя:;B6S02A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;18 стр./мин. (А3)35 стр./мин. (А4)
Нагрузка в месяц:;65000 стр.
