Код производителя:;C3166A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;24 стр./мин. (А4)
Нагрузка в месяц:;100000 стр.
