Код производителя:;CF147A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;14 стр./мин. (Ч/Б)14 стр./мин. (Цв.)
Нагрузка в месяц:;30000 стр.
