Код производителя:;CF116A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;40 стр./мин.
Нагрузка в месяц:;75000 стр.
