Код производителя:;Q7822A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;12 стр./мин. (Ч/Б)10 стр./мин. (Цв.)
Нагрузка в месяц:;35000 стр.
