Код производителя:;CD646A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;31 стр./мин. (Ч/Б)31 стр./мин. (Цв.)
Нагрузка в месяц:;75000 стр.
