Код производителя:;A2W75A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;46 стр./мин. (Ч/Б, А4)									46 стр./мин. (Цв., А4)
Нагрузка в месяц:;200000 стр.
