Код производителя:;Q7547A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;25 стр./мин. (А4)
Нагрузка в месяц:;50000 стр.
