Код производителя:;Q3703A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;19 стр./мин. (Ч/Б)4 стр./мин. (Цв.)
Нагрузка в месяц:;30000 стр.
