Код производителя:;C4094A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;16 стр./мин. (Ч/Б)4 стр./мин. (Цв.)
Нагрузка в месяц:;35000 стр.
