Код производителя:;Q7840A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;13 стр./мин. (А3)25 стр./мин. (А4)
Нагрузка в месяц:;200000 стр.
