Код производителя:;W1A80A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;27 стр./мин. (Ч/Б)27 стр./мин. (Цв.)
Нагрузка в месяц:;50000 стр.
