Код производителя:;CE957A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;20 стр./мин. (Ч/Б)20 стр./мин. (Цв.)
Нагрузка в месяц:;40000 стр.
