Код производителя:;CZ245A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;28 стр./мин. (А3)56 стр./мин. (А4)
Нагрузка в месяц:;300000 стр.
