Код производителя:;Q7552A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;30 стр./мин. (А4)
Нагрузка в месяц:;55000 стр.
