Код производителя:;J8A12A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;47 стр./мин. (Ч/Б)47 стр./мин. (Цв.)
Нагрузка в месяц:;100000 стр.
