Код производителя:;T6B70A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;16 стр./мин. (Ч/Б)16 стр./мин. (Цв.)
Нагрузка в месяц:;30000 стр.
