Код производителя:;CC489A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;35 стр./мин. (Ч/Б)35 стр./мин. (Цв.)
Нагрузка в месяц:;100000 стр.
