Код производителя:;M5H23A
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;24 стр./мин. (Ч/Б)24 стр./мин. (Цв.)
Нагрузка в месяц:;50000 стр.
