Код производителя:;CE461A
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;30 стр./мин.
Нагрузка в месяц:;25000 стр.
