Код производителя:;SL-X3220NR/XSS
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;22 стр./мин. (Ч/Б, А4)									22 стр./мин. (Цв., А4)
Нагрузка в месяц:;60000 стр.
