Код производителя:;SL-C2620DW/XAA
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;26 стр./мин. (Ч/Б)26 стр./мин. (Цв.)
Нагрузка в месяц:;60000 стр.
