Код производителя:;SL-C1810W/XAA
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;18 стр./мин. (Ч/Б)18 стр./мин. (Цв.)
Нагрузка в месяц:;40000 стр.
