Код производителя:;ML-2010/XBH
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;20 стр./мин.
Нагрузка в месяц:;5000 стр.
