Код производителя:;SL-C2670FW/XAA
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;26 стр./мин. (Ч/Б)26 стр./мин. (Цв.)
Нагрузка в месяц:;40000 стр.
