Код производителя:;SL-M2825ND/SEE
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;28 стр./мин.
Нагрузка в месяц:;12000 стр.
