Код производителя:;"Samsung SL-C430W/XEVHP SS230M"
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;18 стр./мин. (Ч/Б)4 стр./мин. (Цв.)
Нагрузка в месяц:;20000 стр.
