Код производителя:;ML-5010ND/XEV
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;48 стр./мин.
Нагрузка в месяц:;200000 стр.
