Код производителя:;"Samsung SL-C3060FR/XEVHP SS211H"
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;30 стр./мин. (Ч/Б)30 стр./мин. (Цв.)
Нагрузка в месяц:;60000 стр.
