Код производителя:;SCX-4728FD/XEV
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;28 стр./мин.
Нагрузка в месяц:;12000 стр.
